title,size_mib,year,folder_path,rep_video_path,size_bytes,reason,tokens,flagged_count,yts_title,yts_year,yts_url,yts_quality_available,yts_next_quality,magnet
12 Angry Men,699.10,1957,/Volumes/Extreme SSD/Movies/12 Angry Men (1957),/Volumes/Extreme SSD/Movies/12 Angry Men (1957)/12 Angry Men (1957) [XviD].avi,733054976,tiny<700MiB;tokens,XviD,1,12 Angry Men,1957,https://yts.mx/movies/12-angry-men-1957,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:3C2F6BAD6616EAB268952002265D4D79865BE304&dn=12%20Angry%20Men.2160p.bluray
12 Monkeys,698.36,,/Volumes/Extreme SSD/Movies/12 Monkeys,/Volumes/Extreme SSD/Movies/12 Monkeys/(DivX) 12 Monkeys - 1of2.avi,732286976,tiny<700MiB;tokens,DivX,2,12 Monkeys,1995,https://yts.mx/movies/12-monkeys-1995,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:F11AC756C840B3BFE0B2B27771B0F86B7F6DA697&dn=12%20Monkeys.2160p.bluray
16 Blocks,699.43,2006,/Volumes/Extreme SSD/Movies/16 Blocks (2006),/Volumes/Extreme SSD/Movies/16 Blocks (2006)/16 Blocks (2006).avi,733405184,tiny<700MiB,,1,16 Blocks,2006,https://yts.mx/movies/16-blocks-2006,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:2A4B9A41C92A20A06C8846E66AD9B5BC4B669BC6&dn=16%20Blocks.1080p.bluray
25th Hour,699.96,2002,/Volumes/Extreme SSD/Movies/25th Hour (2002),/Volumes/Extreme SSD/Movies/25th Hour (2002)/25th Hour (2002).avi,733956096,tiny<700MiB,,1,25th Hour,2002,https://yts.mx/movies/25th-hour-2002,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:CDBB98C546BF8D1B1C6420B9B8310BFC6C54C193&dn=25th%20Hour.1080p.bluray
50 First Dates,699.78,,/Volumes/Extreme SSD/Movies/50 First Dates,/Volumes/Extreme SSD/Movies/50 First Dates/50 First Dates.avi,733769728,tiny<700MiB,,1,50 First Dates,2004,https://yts.mx/movies/50-first-dates-2004,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:B32B869CDE257E6141DC25EE2EC69FBDE3AAF074&dn=50%20First%20Dates.1080p.bluray
8 Mile,699.65,,/Volumes/Extreme SSD/Movies/8 Mile,/Volumes/Extreme SSD/Movies/8 Mile/8 Mile.avi,733640704,tiny<700MiB,,1,8 Mile,2002,https://yts.mx/movies/8-mile-2002,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:3C04D91C6277387509ABB1BB1C81D35485439565&dn=8%20Mile.2160p.bluray
A Bug's Life,663.26,,/Volumes/Extreme SSD/Movies/A Bug's Life,/Volumes/Extreme SSD/Movies/A Bug's Life/A Bugs Life (Disney (English)).avi,695482880,tiny<700MiB,,1,A Bug's Life,1998,https://yts.mx/movies/a-bugs-life-1998,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:F8C56EB135BC3E2027FF53EF46EB4ABEABAC7CAE&dn=A%20Bug%27s%20Life.2160p.bluray
A Walk To Remember,699.55,,/Volumes/Extreme SSD/Movies/A Walk To Remember,/Volumes/Extreme SSD/Movies/A Walk To Remember/A Walk To Remember.avi,733530112,tiny<700MiB,,1,A Walk to Remember,2002,https://yts.mx/movies/a-walk-to-remember-2002,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:5F19F9875794114AE4241E4929F4542A388F6E52&dn=A%20Walk%20to%20Remember.1080p.bluray
Abduction,345.72,2011,/Volumes/Extreme SSD/Movies/Abduction 2011 BRRip 350MB x264 AAC - VYTO,/Volumes/Extreme SSD/Movies/Abduction 2011 BRRip 350MB x264 AAC - VYTO/Abduction 2011 BRRip 350MB x264 AAC - VYTO.mkv,362517144,tiny<700MiB,,1,Abduction,2011,https://yts.mx/movies/abduction-2011,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:CD3EF1CF4F802B7A9B62B9940B0603970040E719&dn=Abduction.1080p.bluray
Aeon Flux,699.95,,/Volumes/Extreme SSD/Movies/Aeon Flux,/Volumes/Extreme SSD/Movies/Aeon Flux/Aeon.Flux[2005]DvDrip.AC3[Eng]-aXXo.avi,733945856,tiny<700MiB;tokens,DVDRip,1,,,,,,
